username,rank_num,star_num
airyland,299,16788
hzlzh,300,16782
wsargent,301,16767
nostra13,302,16703
ryanoasis,303,16672
matryer,304,16597
Miserlou,305,16562
dthree,306,16519
luin,306,16519
yaronn,308,16449
scrooloose,309,16422
tobiasahlin,310,16375
nikic,311,16331
aui,312,16226
mxcl,313,16224
walkor,314,16208
creationix,315,16195
surmon-china,316,16104
JohnCoates,317,16085
nosir,318,16080
jonathantneal,319,16039
mhinz,320,16036
hehonghui,321,15932
Aufree,322,15914
kilimchoi,323,15890
ccampbell,324,15875
jdg,325,15867
alsotang,326,15861
jwilm,327,15841
nathanmarz,328,15821
poteto,329,15810
enyo,330,15804
bobthecow,331,15796
nagadomi,332,15683
lzyzsd,333,15664
maccman,334,15658
cubiq,335,15642
xgrommx,336,15632
andlabs,337,15618
vasanthk,338,15580
malcommac,339,15555
jessesquires,340,15511
shekhargulati,341,15467
alebcay,342,15455
nickbutcher,343,15432
staltz,344,15405
jonschlinkert,345,15400
nst,346,15372
alecthomas,347,15347
imakewebthings,348,15345
vitalets,349,15265
lexrus,350,15235
jessfraz,351,15198
kataras,352,15108
holman,353,14990
TooTallNate,354,14971
loopj,355,14967
ocornut,356,14961
ccgus,357,14940
goldfire,358,14923
viljamis,359,14892
mperham,360,14886
hackiftekhar,361,14869
cjbarber,362,14816
josdejong,363,14694
iissnan,364,14690
insidegui,365,14664
fchollet,366,14658
veggiemonk,367,14614
benweet,368,14577
luanfujun,369,14537
HelloZeroNet,370,14505
ipader,371,14504
ncw,372,14503
sstephenson,373,14499
wg,374,14490
Developer-Y,375,14485
jtoy,376,14471
thlorenz,377,14442
technomancy,378,14383
koalaman,379,14379
waylau,380,14374
mrmrs,381,14372
brendangregg,382,14269
nothings,383,14230
douglascrockford,384,14212
eligrey,384,14212
nicolargo,386,14200
winterbe,387,14198
STRML,388,14185
lgvalle,389,14136
chriso,390,14127
leereilly,391,14123
p-e-w,392,14103
dmytrodanylyk,393,14068
saulmm,394,14059
lukasz-madon,395,14034
ConnorAtherton,396,13997
buger,397,13989
mamaral,398,13982
nfarina,399,13975
acgotaku,400,13966
anishathalye,401,13962
jfeinstein10,402,13959
robb,403,13938
indexzero,404,13934
mikeal,405,13924
sampotts,406,13909
evilsocket,407,13906
janl,408,13905
draveness,409,13896
nlohmann,410,13853
braydie,411,13844
hustcc,412,13828
jordansissel,413,13822
code4craft,414,13774
WickyNilliams,415,13767
gcanti,416,13748
TalAter,417,13739
apenwarr,418,13685
antoniolg,419,13673
miloyip,420,13642
rauchg,421,13554
luong-komorebi,422,13518
leafo,423,13510
wenzhixin,424,13501
progrium,425,13490
coolwanglu,426,13482
ccoenraets,427,13446
lepture,428,13331
mojombo,429,13329
jenssegers,430,13327
chinchang,431,13320
kevinzhow,432,13305
lovell,433,13285
bbatsov,434,13266
xmuSistone,435,13231
johnno1962,436,13189
lihaoyi,437,13177
rhysd,438,13132
weavejester,439,13102
mislav,440,13082
matthewmueller,441,13064
coryhouse,442,13013
n0shake,443,12920
amueller,444,12868
valyala,445,12822
tekezo,446,12794
sloria,447,12792
DrkSephy,448,12780
pcottle,449,12744
devxoul,450,12737
michaelliao,451,12725
soumith,452,12705
bang590,453,12693
vurtun,454,12687
mxgmn,455,12680
jwagner,456,12662
coleifer,457,12633
daylerees,458,12628
btford,459,12601
yudai,459,12601
coreybutler,461,12572
chrislusf,462,12519
flyerhzm,463,12515
RubyLouvre,464,12514
muaz-khan,465,12510
harthur,465,12510
briannesbitt,467,12504
equinusocio,468,12481
WebReflection,469,12425
ty4z2008,470,12423
roughike,471,12414
vlucas,472,12413
grosser,473,12401
JackyAndroid,474,12378
StevenBlack,474,12378
dylang,476,12343
commonsguy,477,12297
huangz1990,478,12276
astorfi,479,12257
nolanlawson,479,12257
maxwellito,481,12213
paulmillr,482,12183
chentsulin,483,12170
laracasts,484,12162
lhartikk,485,12144
soulmachine,486,12134
mitsuhiko,486,12134
franciscop,488,12132
voronianski,489,12119
FelisCatus,490,12099
bolshchikov,491,12085
ochococo,492,12066
jmcunningham,493,12057
cjwirth,494,12044
jessepollak,495,12036
phoboslab,496,12026
rs,497,12000
diafygi,498,11998
ChristosChristofidis,499,11989
viccalexander,500,11977
fgnass,501,11956
kailashahirwar,502,11945
trustedsec,503,11924
uglide,504,11907
DmitryBaranovskiy,505,11902
robertdavidgraham,506,11855
ptmt,507,11842
spencermountain,508,11817
liabru,509,11810
dexteryy,510,11803
lemire,511,11790
bmorelli25,512,11760
medcl,513,11750
mqyqingfeng,514,11744
brannondorsey,515,11731
lokesh,516,11694
rupa,517,11676
csswizardry,518,11671
gionkunz,519,11669
octocat,520,11664
hdodenhof,521,11649
mbadolato,522,11638
Yixiaohan,523,11634
jprichardson,524,11616
radare,525,11615
ddollar,526,11610
DrKLO,527,11566
sachinchoolur,528,11561
sofish,529,11558
loverajoel,530,11548
ded,531,11531
h2non,532,11478
